tensor(25.0071, device='cuda:0', grad_fn=<DivBackward0>)
tensor(8782.2803, device='cuda:0', grad_fn=<DivBackward0>)
tensor(173.0856, device='cuda:0', grad_fn=<DivBackward0>)
tensor(44.8456, device='cuda:0', grad_fn=<DivBackward0>)
tensor(50.2335, device='cuda:0', grad_fn=<DivBackward0>)
tensor(37.8646, device='cuda:0', grad_fn=<DivBackward0>)
tensor(29.6570, device='cuda:0', grad_fn=<DivBackward0>)
tensor(24.9042, device='cuda:0', grad_fn=<DivBackward0>)
tensor(20.8580, device='cuda:0', grad_fn=<DivBackward0>)
tensor(25.5073, device='cuda:0', grad_fn=<DivBackward0>)
tensor(14.1175, device='cuda:0', grad_fn=<DivBackward0>)
tensor(18.0739, device='cuda:0', grad_fn=<DivBackward0>)
tensor(17.2038, device='cuda:0', grad_fn=<DivBackward0>)
tensor(16.8130, device='cuda:0', grad_fn=<DivBackward0>)
tensor(14.8384, device='cuda:0', grad_fn=<DivBackward0>)
tensor(13.5203, device='cuda:0', grad_fn=<DivBackward0>)
tensor(16.2864, device='cuda:0', grad_fn=<DivBackward0>)
tensor(11.3022, device='cuda:0', grad_fn=<DivBackward0>)
tensor(16.9472, device='cuda:0', grad_fn=<DivBackward0>)
tensor(11.3134, device='cuda:0', grad_fn=<DivBackward0>)
tensor(20.6765, device='cuda:0', grad_fn=<DivBackward0>)
tensor(10.4936, device='cuda:0', grad_fn=<DivBackward0>)
tensor(17.8922, device='cuda:0', grad_fn=<DivBackward0>)
tensor(9.9122, device='cuda:0', grad_fn=<DivBackward0>)
tensor(20.2261, device='cuda:0', grad_fn=<DivBackward0>)
tensor(8.8112, device='cuda:0', grad_fn=<DivBackward0>)
tensor(18.2596, device='cuda:0', grad_fn=<DivBackward0>)
tensor(9.9525, device='cuda:0', grad_fn=<DivBackward0>)
tensor(19.6215, device='cuda:0', grad_fn=<DivBackward0>)
tensor(8.2118, device='cuda:0', grad_fn=<DivBackward0>)
tensor(20.2007, device='cuda:0', grad_fn=<DivBackward0>)
tensor(8.0002, device='cuda:0', grad_fn=<DivBackward0>)
tensor(19.4423, device='cuda:0', grad_fn=<DivBackward0>)
tensor(7.8266, device='cuda:0', grad_fn=<DivBackward0>)
tensor(20.5125, device='cuda:0', grad_fn=<DivBackward0>)
tensor(7.7626, device='cuda:0', grad_fn=<DivBackward0>)
tensor(12.6987, device='cuda:0', grad_fn=<DivBackward0>)
tensor(13.0239, device='cuda:0', grad_fn=<DivBackward0>)
tensor(9.3267, device='cuda:0', grad_fn=<DivBackward0>)
tensor(11.3643, device='cuda:0', grad_fn=<DivBackward0>)
tensor(7.7173, device='cuda:0', grad_fn=<DivBackward0>)
tensor(12.6283, device='cuda:0', grad_fn=<DivBackward0>)
tensor(7.9927, device='cuda:0', grad_fn=<DivBackward0>)
tensor(12.9525, device='cuda:0', grad_fn=<DivBackward0>)
tensor(7.9176, device='cuda:0', grad_fn=<DivBackward0>)
tensor(11.4251, device='cuda:0', grad_fn=<DivBackward0>)
tensor(7.7020, device='cuda:0', grad_fn=<DivBackward0>)
tensor(15.2097, device='cuda:0', grad_fn=<DivBackward0>)
tensor(7.6674, device='cuda:0', grad_fn=<DivBackward0>)
tensor(11.3036, device='cuda:0', grad_fn=<DivBackward0>)
tensor(7.4800, device='cuda:0', grad_fn=<DivBackward0>)
tensor(12.4884, device='cuda:0', grad_fn=<DivBackward0>)
tensor(7.5138, device='cuda:0', grad_fn=<DivBackward0>)
tensor(12.2226, device='cuda:0', grad_fn=<DivBackward0>)
tensor(7.0863, device='cuda:0', grad_fn=<DivBackward0>)
